Time,Position Axis 1,Load Axis 1,Command Axis 1,Aux 0,Aux 1,Aux 2,Cycles
3.1500000000,57.9383354184,0.4608306585,57.9458465576,-0.0708158612,0.0010578862,0.0028308830,0.0000000000
3.2000000000,57.8902282716,0.4496589897,57.8958473205,-0.0717022643,-0.0015130589,-0.0009163766,0.0000000000
3.2500000000,57.8467750547,0.4510414302,57.8458518982,-0.0722665265,0.0011493780,0.0033352773,0.0000000000
3.3000000000,57.7818908692,0.4846961498,57.7958564758,-0.0724455938,-0.0015007022,-0.0014340463,0.0000000000
3.3500000000,57.7524871824,0.4416939614,57.7458572388,-0.0739599541,0.0008387371,0.0035269743,0.0000000000
3.4000000000,57.6908493042,0.4498822689,57.6958618164,-0.0742073432,-0.0011345305,-0.0011221385,0.0000000000
3.4500000000,57.6592216490,0.4503100217,57.6458663940,-0.0755987987,0.0008689822,0.0033048077,0.0000000000
3.5000000000,57.5906677246,0.4633664191,57.5958709717,-0.0753013641,-0.0008907513,-0.0017651847,0.0000000000
3.5500000000,57.5508079529,0.4731200039,57.5458755493,-0.0772762969,0.0009177829,0.0029865252,0.0000000000
3.6000000000,57.4967079162,0.4644161760,57.4958763123,-0.0775487497,-0.0013358142,-0.0017028721,0.0000000000
3.6500000000,57.4437141420,0.4715924562,57.4458808899,-0.0783241913,0.0013994468,0.0030474132,0.0000000000
3.7000000000,57.3972320556,0.4661101103,57.3958854675,-0.0784409568,-0.0014432980,-0.0016979141,0.0000000000
3.7500000000,57.3420410159,0.4219709339,57.3458862305,-0.0794017166,0.0016147581,0.0039714980,0.0000000000
3.8000000000,57.3082771300,0.4613363445,57.2958908081,-0.0800040960,-0.0013965636,-0.0012869838,0.0000000000
3.8500000000,57.2361106875,0.4508725401,57.2458953857,-0.0811788514,0.0014684220,0.0036489764,0.0000000000
3.9000000000,57.2075614928,0.4519615174,57.1958999634,-0.0815022886,-0.0016033897,-0.0017372756,0.0000000000
3.9500000000,57.1278610231,0.4375186562,57.1459045410,-0.0823676735,0.0016527802,0.0037806756,0.0000000000
4.0000000000,57.1018104553,0.4319969714,57.0959053040,-0.0825222805,-0.0012932752,-0.0020266064,0.0000000000
4.0500000000,57.0446510314,0.4318642915,57.0459098816,-0.0837471187,0.0013198920,0.0035679850,0.0000000000
4.1000000000,56.9938926697,0.4274580479,56.9959144592,-0.0844915137,-0.0015303737,-0.0025960377,0.0000000000
4.1500000000,56.9511985776,0.4428327680,56.9459152221,-0.0854030252,0.0013392305,0.0041525215,0.0000000000
4.2000000000,56.8911514283,0.4381863773,56.8959197998,-0.0859588832,-0.0016469081,-0.0021424771,0.0000000000
4.2500000000,56.8540954588,0.4200480580,56.8459243774,-0.0867565423,0.0014880775,0.0041968380,0.0000000000
4.3000000000,56.7774810792,0.4383182824,56.7959289551,-0.0873666629,-0.0014620761,-0.0022487391,0.0000000000
4.3500000000,56.7555732725,0.4478242101,56.7459335327,-0.0877080932,0.0015284267,0.0042457101,0.0000000000
