OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
  349  -2.24443e-02   2.06905e-01 
  350  -4.29581e-03   2.13294e-01 
  351  -1.36267e-02   2.12374e-01 
  352  -2.29726e-02   2.11534e-01 
  353  -4.64810e-03   2.18004e-01 
  354  -9.35794e-03   2.17526e-01 
  355  -1.40712e-02   2.17067e-01 
  356  -1.87882e-02   2.16628e-01 
  357  -2.35094e-02   2.16209e-01 
  358  -5.00959e-03   2.22761e-01 
  359  -1.45245e-02   2.21806e-01 
  360  -2.40547e-02   2.20930e-01 
  361  -5.38031e-03   2.27563e-01 
  362  -1.01818e-02   2.27067e-01 
  363  -1.49867e-02   2.26591e-01 
  364  -1.97955e-02   2.26134e-01 
  365  -2.46085e-02   2.25697e-01 
  366  -5.76034e-03   2.32412e-01 
  367  -1.54579e-02   2.31422e-01 
  368  -2.51709e-02   2.30509e-01 
  369  -6.14971e-03   2.37306e-01 
  370  -1.10422e-02   2.36792e-01 
  371  -1.59381e-02   2.36298e-01 
  372  -2.08379e-02   2.35823e-01 
  373  -2.57420e-02   2.35367e-01 
  374  -6.54849e-03   2.42245e-01 
  375  -1.64273e-02   2.41219e-01 
  376  -2.63218e-02   2.40270e-01 
  377  -6.95673e-03   2.47230e-01 
  378  -1.19394e-02   2.46698e-01 
  379  -1.69257e-02   2.46185e-01 
  380  -2.19159e-02   2.45692e-01 
  381  -2.69104e-02   2.45218e-01 
  382  -7.37447e-03   2.52259e-01 
  383  -1.74332e-02   2.51197e-01 
  384  -2.75077e-02   2.50211e-01 
  385  -7.80177e-03   2.57334e-01 
  386  -1.28741e-02   2.56784e-01 
  387  -1.79499e-02   2.56253e-01 
  388  -2.30298e-02   2.55742e-01 
  389  -2.81140e-02   2.55249e-01 
  390  -8.23867e-03   2.62453e-01 
  391  -1.84759e-02   2.61354e-01 
  392  -2.87291e-02   2.60331e-01 
  393  -8.68524e-03   2.67617e-01 
  394  -1.38464e-02   2.67049e-01 
  395  -1.90112e-02   2.66500e-01 
  396  -2.41800e-02   2.65969e-01 
  397  -2.93533e-02   2.65458e-01 
  398  -9.14150e-03   2.72826e-01 
  399  -1.95559e-02   2.71690e-01 
  400  -2.99864e-02   2.70629e-01 
  401  -9.60752e-03   2.78078e-01 
  402  -1.48569e-02   2.77492e-01 
